[2022-12-17 13:15:16,510][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.28600000  1.30007846   32.00000000   40.00000000     1000
sample             num_guess   36.47600000  1.20723817   33.00000000   40.00000000     1000
sample           num_correct   36.38100000  1.21730810   33.00000000   40.00000000     1000
sample          correct_rate    0.99741760  0.00825599    0.94444444    1.00000000     1000
sample              bandwith    0.22797500  0.00754524    0.20625000    0.25000000     1000
sample        cyclone_attack    0.90900000  0.28760911    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99739555  0.00000000    0.99739555    0.99739555        1
sample      overall_bandwith    0.22797500  0.00000000    0.22797500    0.22797500        1

